song_id,song_name,duration_ms,song_url,popularity,track_number,explicit,release_date,cover_art,album_name,artist_name,total_tracks
2plbrEY59IikOBgBGLjaoe,Die With A Smile,04:11,https://open.spotify.com/track/2plbrEY59IikOBgBGLjaoe,100,1,FALSE,16-08-2024,https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45,Die With A Smile,Lady Gaga,1
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,03:30,https://open.spotify.com/track/6dOtVTDdiauQNBQEDOtlAB,99,4,FALSE,17-05-2024,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,HIT ME HARD AND SOFT,Billie Eilish,10
5G2f63n7IPVPPjfNIGih7Q,Taste,02:37,https://open.spotify.com/track/5G2f63n7IPVPPjfNIGih7Q,96,1,FALSE,23-08-2024,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626,Short n' Sweet,Sabrina Carpenter,12
7tI8dRuH2Yc6RuoTjxo4dU,Who,02:50,https://open.spotify.com/track/7tI8dRuH2Yc6RuoTjxo4dU,94,6,FALSE,19-07-2024,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,MUSE,Jimin,7
2qSkIjg1o9h3YT9RAgYN75,Espresso,02:55,https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75,97,1,TRUE,12-04-2024,https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5,Espresso,Sabrina Carpenter,1
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",03:38,https://open.spotify.com/track/0WbMK4wrZ1wFSty9F7FCgu,96,1,FALSE,05-04-2024,https://i.scdn.co/image/ab67616d0000b27391b4bc7c88d91a42e0f3a8b7,"Good Luck, Babe!",Chappell Roan,1
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,03:15,https://open.spotify.com/track/6WatFBLVB0x077xWeoVc2k,96,1,FALSE,21-06-2024,https://i.scdn.co/image/ab67616d0000b273491678beaffcefac517a699e,Si Antes Te Hubiera Conocido,KAROL G,1
5N3hjp1WNayUPZrA8kJmJP,Please Please Please,03:06,https://open.spotify.com/track/5N3hjp1WNayUPZrA8kJmJP,95,1,TRUE,06-06-2024,https://i.scdn.co/image/ab67616d0000b273de84adf0e48248ea2d769c3e,Please Please Please,Sabrina Carpenter,2
2PnlsTsOTLE5jnBnNe2K0A,The Emptiness Machine,03:10,https://open.spotify.com/track/2PnlsTsOTLE5jnBnNe2K0A,93,1,TRUE,05-09-2024,https://i.scdn.co/image/ab67616d0000b273c0db065619ed208515412917,The Emptiness Machine,Linkin Park,1
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,03:00,https://open.spotify.com/track/3xkHsmpQCBMytMJNiDf3Ii,91,4,FALSE,05-04-2024,https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40,Fireworks & Rollerblades,Benson Boone,15
1UHS8Rf6h5Ar3CDWRd3wjF,Bed Chem,02:51,https://open.spotify.com/track/1UHS8Rf6h5Ar3CDWRd3wjF,92,6,FALSE,23-08-2024,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626,Short n' Sweet,Sabrina Carpenter,12
2cZOYofOX4d6g0OXxkaIjA,ALL RED,02:28,https://open.spotify.com/track/2cZOYofOX4d6g0OXxkaIjA,91,1,TRUE,13-09-2024,https://i.scdn.co/image/ab67616d0000b273ca15942c726ec9c39796435e,ALL RED,Playboi Carti,1
7z7kvUQGwlC6iOl7vMuAr9,Dancing In The Flames,03:40,https://open.spotify.com/track/7z7kvUQGwlC6iOl7vMuAr9,86,1,FALSE,13-09-2024,https://i.scdn.co/image/ab67616d0000b273f0e9b93cadbeb4d0227a59eb,Dancing In The Flames,The Weeknd,1
17phhZDn6oGtzMe56NuWvj,Lose Control,03:30,https://open.spotify.com/track/17phhZDn6oGtzMe56NuWvj,91,2,FALSE,15-09-2023,https://i.scdn.co/image/ab67616d0000b2731a0323cc23419360a34a3ace,I've Tried Everything But Therapy (Part 1),Teddy Swims,10
5fZJQrFKWQLb7FpJXZ1g7K,A Bar Song (Tipsy),02:51,https://open.spotify.com/track/5fZJQrFKWQLb7FpJXZ1g7K,87,2,TRUE,31-05-2024,https://i.scdn.co/image/ab67616d0000b27360df033c8f8b17384387666a,"Where I've Been, Isn't Where I'm Going",Shaboozey,12
19XpFsce28aByvCC4g89tJ,Too Sweet,04:11,https://open.spotify.com/track/19XpFsce28aByvCC4g89tJ,75,1,FALSE,19-08-2024,https://i.scdn.co/image/ab67616d0000b273b07bd43d1bec442c7fcc4d1e,Unreal Unearth: Unaired,Hozier,23
3hRV0jL3vUpRrcy398teAU,The Night We Met,03:28,https://open.spotify.com/track/3hRV0jL3vUpRrcy398teAU,90,14,FALSE,06-04-2015,https://i.scdn.co/image/ab67616d0000b27317875a0610c23d8946454583,Strange Trails,Lord Huron,14
